"ARILINE_ICAO_CODE";"ARILINE_NAME";"ARILINE_CALL_SIGN";"AIRLINE_COUNTRY";"FLIGHT_CODE";"AIRPORT_FROM_IATA_CODE";"AIRPORT_FROM_NAME";"AIRPORT_FROM_LOCATION";"AIRPORT_TO_IATA_CODE";"AIRPORT_TO_NAME";"AIRPORT_TO_LOCATION";"FLIGHT_DISTANCE";"PILOT_NAME";"PILOT_SURNAME";"COPILOT_NAME";"COPILOT_SURNAME";"PASSENGER_FIRST_NAME";"PASSENGER_LAST_NAME";"PASSENGER_COUNTRY";"TRAVEL_CLASS";"TICKET_CODE";"TICKET_PRICE"
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Alexander";"Atkinson";"United Kingdom";"ECONOMY";"AEH958/001";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Alexander";"Cambrault";"Sweden";"FIRST";"AEH958/006";1376
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Alexander";"Fripp";"Russia";"BUSINESS";"AEH958/011";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Alexander";"Vargas";"Switzerland";"FIRST";"AEH958/053";1376
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Bruce";"Matos";"Italy";"BUSINESS";"AEH958/072";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"David";"Errazuriz";"United Kingdom";"ECONOMY";"AEH958/121";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"David";"Gee";"Ukraine";"ECONOMY";"AEH958/123";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"David";"Philtanker";"Iceland";"ECONOMY";"AEH958/137";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Diana";"Markle";"India";"ECONOMY";"AEH958/186";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Diana";"Mourgos";"Belgium";"BUSINESS";"AEH958/190";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Ismael";"Ladwig";"United Kingdom";"ECONOMY";"AEH958/241";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Ismael";"Nayer";"Slovakia";"ECONOMY";"AEH958/249";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Ismael";"Partners";"Russia";"ECONOMY";"AEH958/251";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"John";"Patel";"Iceland";"ECONOMY";"AEH958/281";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"John";"Vargas";"Italy";"ECONOMY";"AEH958/288";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Jose Manuel";"Seo";"Ukraine";"BUSINESS";"AEH958/315";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Lex";"Stiles";"Slovakia";"ECONOMY";"AEH958/345";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Luis";"Mikkilineni";"Ukraine";"BUSINESS";"AEH958/363";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Luis";"Philtanker";"Slovakia";"ECONOMY";"AEH958/369";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Luis";"Stiles";"Latvia";"ECONOMY";"AEH958/374";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Nancy";"Davies";"Belarus";"ECONOMY";"AEH958/381";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Nancy";"Russell";"Iceland";"ECONOMY";"AEH958/401";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Neena";"Atkinson";"Brazil";"ECONOMY";"AEH958/407";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Shelli";"Kaufling";"Russia";"ECONOMY";"AEH958/443";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Shelli";"Mikkilineni";"India";"FIRST";"AEH958/450";1376
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Shelli";"Mourgos";"Hong Kong";"BUSINESS";"AEH958/451";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Sigal";"Fripp";"Latvia";"BUSINESS";"AEH958/470";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Sigal";"Markle";"Germany";"ECONOMY";"AEH958/476";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Sigal";"Marlow";"Belarus";"BUSINESS";"AEH958/477";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Sigal";"Seo";"Slovakia";"ECONOMY";"AEH958/489";1019
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Steven";"Patel";"Slovakia";"BUSINESS";"AEH958/513";1732
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH958";"WIC";"Wick Airport";"Wick, Scotland, United Kingdom";"ACI";"Alderney Airport";"Alderney, Channel Islands, United Kingdom";4792;"Steven";"Vollman";"Mattea";"Smith";"Valli";"Gee";"United Kingdom";"FIRST";"AEH958/529";1376
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Alexander";"Olson";"Russia";"ECONOMY";"AEH829/035";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Alexander";"Stiles";"Ukraine";"ECONOMY";"AEH829/051";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Bruce";"Errazuriz";"Japan";"ECONOMY";"AEH829/063";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Bruce";"Matos";"Italy";"ECONOMY";"AEH829/072";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Daniel";"Markle";"Ukraine";"ECONOMY";"AEH829/099";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Den";"Fripp";"Swaziland";"BUSINESS";"AEH829/151";1515
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Den";"Patel";"Belarus";"ECONOMY";"AEH829/165";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Diana";"Fripp";"Romania";"ECONOMY";"AEH829/180";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Diana";"Mourgos";"Belgium";"ECONOMY";"AEH829/190";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Luis";"Cambrault";"Japan";"ECONOMY";"AEH829/351";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Neena";"Matos";"Romania";"BUSINESS";"AEH829/420";1515
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Shelli";"Fripp";"Slovakia";"ECONOMY";"AEH829/441";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Sigal";"Nayer";"United Kingdom";"ECONOMY";"AEH829/481";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Steven";"Mallin";"Italy";"ECONOMY";"AEH829/504";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Valli";"Gee";"United Kingdom";"ECONOMY";"AEH829/529";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH829";"GRO";"Girona-Costa Brava Airport";"Girona, Spain";"TFS";"Tenerife South Airport";"Tenerife, Canary Islands, Spain";3942;"Alexander";"Chen";"James";"Kaufling";"Valli";"Marlow";"Swaziland";"ECONOMY";"AEH829/535";891
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Alexander";"Atkinson";"United Kingdom";"BUSINESS";"AEH132/001";1411
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Alexander";"Olson";"Russia";"BUSINESS";"AEH132/035";1411
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Bruce";"Bissot";"Romania";"ECONOMY";"AEH132/060";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Daniel";"Markle";"Ukraine";"ECONOMY";"AEH132/099";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Daniel";"Olson";"Slovakia";"ECONOMY";"AEH132/105";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"David";"Fripp";"United States";"ECONOMY";"AEH132/122";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"David";"Marlow";"Slovakia";"ECONOMY";"AEH132/129";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Den";"Fripp";"Swaziland";"BUSINESS";"AEH132/151";1411
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Diana";"Markle";"India";"ECONOMY";"AEH132/186";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Lex";"Rajs";"Switzerland";"ECONOMY";"AEH132/341";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Nancy";"Kaufling";"United Kingdom";"ECONOMY";"AEH132/385";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Nancy";"Russell";"Iceland";"FIRST";"AEH132/401";1121
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Neena";"Matos";"Romania";"FIRST";"AEH132/420";1121
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Shelli";"Fripp";"Slovakia";"ECONOMY";"AEH132/441";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Steven";"Kaufling";"Belarus";"ECONOMY";"AEH132/501";830
"AEH";"Aviaexpress";"AVEX";"Hungary";"AEH132";"SOY";"Stronsay Airport";"Stronsay, Scotland, United Kingdom";"CLJ";"Cluj-Napoca International Airport";"Cluj-Napoca, Romania";3531;"Kevin";"Colmenares";"Sundar";"Sewall";"Valli";"Ladwig";"Ukraine";"BUSINESS";"AEH132/531";1411
